,number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_gamma,params_lambda,params_learning_rate,params_rank,state
0,0,0.5027549696895368,2023-04-08 20:38:03.998705,2023-04-08 20:38:31.347726,0 days 00:00:27.349021,0.1832619845547938,2048,0.08003410758548654,1e-05,0.005,55.0,COMPLETE
1,1,0.5028053298342258,2023-04-08 20:38:31.350177,2023-04-08 20:38:54.864282,0 days 00:00:23.514105,0.16120957227224214,2048,0.06552405971872813,1e-05,0.001,90.0,COMPLETE
2,2,0.4989314537209148,2023-04-08 20:38:54.866262,2023-04-08 20:39:14.419808,0 days 00:00:19.553546,0.11613095178849964,1024,0.06877974929188586,0.01,0.01,95.0,COMPLETE
3,3,0.500668289821314,2023-04-08 20:39:14.420642,2023-04-08 20:39:37.952261,0 days 00:00:23.531619,0.1739263579398302,16384,0.01352690130288886,0.1,0.05,30.0,COMPLETE
4,4,0.4976750337924965,2023-04-08 20:39:37.954457,2023-04-08 20:40:23.229455,0 days 00:00:45.274998,0.17163272041185657,1024,0.0360465483652481,0.1,0.005,30.0,COMPLETE
5,5,0.5007013510416357,2023-04-08 20:40:23.230383,2023-04-08 20:40:42.061535,0 days 00:00:18.831152,0.16994792753175042,2048,0.03676932557696203,0.001,0.01,20.0,COMPLETE
6,6,0.5051295334946854,2023-04-08 20:40:42.063027,2023-04-08 20:41:08.035372,0 days 00:00:25.972345,0.1428768700945766,2048,0.02219266578002052,0.01,0.01,85.0,COMPLETE
7,7,0.5043148782150598,2023-04-08 20:41:08.037477,2023-04-08 20:41:30.097459,0 days 00:00:22.059982,0.11494483046579938,1024,0.08813134516313928,0.01,0.1,30.0,COMPLETE
8,8,0.5008699790288541,2023-04-08 20:41:30.100132,2023-04-08 20:41:58.287992,0 days 00:00:28.187860,0.11716296772614405,16384,0.056893294558371645,0.001,0.001,20.0,COMPLETE
9,9,0.5013597892677791,2023-04-08 20:41:58.294639,2023-04-08 20:42:50.679612,0 days 00:00:52.384973,0.17301220295167696,1024,0.03807504959316417,1.0,0.005,10.0,COMPLETE
10,10,0.5055923175284646,2023-04-08 20:42:50.681454,2023-04-08 20:43:14.738784,0 days 00:00:24.057330,0.14260133129654334,8192,0.010738854217222678,0.0001,0.01,70.0,COMPLETE
11,11,0.5055922995861812,2023-04-08 20:43:14.740615,2023-04-08 20:43:39.013720,0 days 00:00:24.273105,0.1404538001787895,8192,0.01263225627627652,0.0001,0.01,70.0,COMPLETE
12,12,0.5025334414429385,2023-04-08 20:43:39.016417,2023-04-08 20:44:06.722626,0 days 00:00:27.706209,0.14118705585959276,8192,0.01050371452866225,0.0001,0.01,65.0,COMPLETE
13,13,0.5055922444777394,2023-04-08 20:44:06.732545,2023-04-08 20:44:33.210256,0 days 00:00:26.477711,0.13489331384461067,8192,0.025253859116285235,0.0001,0.01,70.0,COMPLETE
14,14,0.5728902327704712,2023-04-08 20:44:33.211750,2023-04-08 20:45:15.183805,0 days 00:00:41.972055,0.15384495271351878,4096,0.012657322655945014,0.0001,0.1,75.0,COMPLETE
15,15,0.5717416946656854,2023-04-08 20:45:15.186812,2023-04-08 20:46:08.711761,0 days 00:00:53.524949,0.15702953786703733,4096,0.04586698185306592,0.0001,0.1,80.0,COMPLETE
16,16,0.5692250241313459,2023-04-08 20:46:08.713452,2023-04-08 20:47:03.531710,0 days 00:00:54.818258,0.19980420430479928,4096,0.047600342006765946,0.0001,0.1,80.0,COMPLETE
17,17,0.5036397511021842,2023-04-08 20:47:03.536224,2023-04-08 20:47:42.892970,0 days 00:00:39.356746,0.15555296686650177,4096,0.04877674349214173,1.0,0.1,100.0,COMPLETE
18,18,0.5741836419976811,2023-04-08 20:47:42.896530,2023-04-08 20:48:24.719776,0 days 00:00:41.823246,0.1551414916762988,4096,0.02550159215465969,0.0001,0.1,55.0,COMPLETE
19,19,0.5769222918988868,2023-04-08 20:48:24.725964,2023-04-08 20:49:22.254688,0 days 00:00:57.528724,0.12909543643639276,4096,0.027718160490212387,0.0001,0.1,45.0,COMPLETE
20,20,0.5860329771376555,2023-04-08 20:49:22.257431,2023-04-08 20:50:05.103773,0 days 00:00:42.846342,0.1046355572809802,4096,0.025198029420542285,0.0001,0.05,45.0,COMPLETE
21,21,0.5860635546333199,2023-04-08 20:50:05.107978,2023-04-08 20:51:04.720770,0 days 00:00:59.612792,0.10309005004874928,4096,0.025692286859850706,0.0001,0.05,45.0,COMPLETE
22,22,0.5861321607986206,2023-04-08 20:51:04.728402,2023-04-08 20:51:57.274017,0 days 00:00:52.545615,0.1001978001872702,4096,0.031051201915926866,0.0001,0.05,45.0,COMPLETE
23,23,0.5861214633529477,2023-04-08 20:51:57.282418,2023-04-08 20:52:55.487813,0 days 00:00:58.205395,0.10105601822346898,4096,0.032343655183902996,0.0001,0.05,45.0,COMPLETE
24,24,0.5861329605118231,2023-04-08 20:52:55.489852,2023-04-08 20:53:54.640739,0 days 00:00:59.150887,0.10073276862981709,4096,0.033823410791330485,0.0001,0.05,45.0,COMPLETE
25,25,0.5005020097100357,2023-04-08 20:53:54.647951,2023-04-08 20:54:23.296736,0 days 00:00:28.648785,0.10327473359318956,4096,0.034610154704169616,1.0,0.05,40.0,COMPLETE
26,26,0.5046803138271458,2023-04-08 20:54:23.301198,2023-04-08 20:54:50.268627,0 days 00:00:26.967429,0.10971509202430617,4096,0.04120256524862222,0.1,0.05,55.0,COMPLETE
27,27,0.7278526823395827,2023-04-08 20:54:50.271041,2023-04-08 20:57:36.533306,0 days 00:02:46.262265,0.10119362114179095,4096,0.03395951951979337,1e-05,0.05,35.0,COMPLETE
28,28,0.503461400960554,2023-04-08 20:57:36.536082,2023-04-08 20:57:55.248755,0 days 00:00:18.712673,0.12566666424500367,16384,0.03216111902377721,0.001,0.05,35.0,COMPLETE
29,29,0.7211195572672882,2023-04-08 20:57:55.250747,2023-04-08 20:59:39.425447,0 days 00:01:44.174700,0.11071080092749822,4096,0.019222699227822285,1e-05,0.05,60.0,COMPLETE
30,30,0.721205622555915,2023-04-08 20:59:39.427702,2023-04-08 21:01:53.345941,0 days 00:02:13.918239,0.10898879304906219,4096,0.021537736535678184,1e-05,0.05,60.0,COMPLETE
31,31,0.7211411341446513,2023-04-08 21:01:53.350077,2023-04-08 21:04:03.255506,0 days 00:02:09.905429,0.1089435245307437,4096,0.01883417909119547,1e-05,0.05,60.0,COMPLETE
32,32,0.7211461003123741,2023-04-08 21:04:03.261744,2023-04-08 21:06:15.719655,0 days 00:02:12.457911,0.11049757195067236,4096,0.020283091026608108,1e-05,0.05,60.0,COMPLETE
33,33,0.5015016640288776,2023-04-08 21:06:15.723221,2023-04-08 21:06:52.056093,0 days 00:00:36.332872,0.12119423396444148,4096,0.018754050556289318,1e-05,0.001,60.0,COMPLETE
34,34,0.6898212213966425,2023-04-08 21:06:52.067345,2023-04-08 21:08:26.086914,0 days 00:01:34.019569,0.11194595805376953,2048,0.01770948054947524,1e-05,0.05,60.0,COMPLETE
35,35,0.721278190121069,2023-04-08 21:08:26.089036,2023-04-08 21:10:29.111306,0 days 00:02:03.022270,0.12019950332847731,4096,0.018342324134110678,1e-05,0.05,50.0,COMPLETE
36,36,0.7310391267783904,2023-04-08 21:10:29.120539,2023-04-08 21:11:42.461239,0 days 00:01:13.340700,0.12020331516557563,16384,0.016996300323457055,1e-05,0.05,20.0,COMPLETE
37,37,0.7310669065594384,2023-04-08 21:11:42.463815,2023-04-08 21:12:50.210256,0 days 00:01:07.746441,0.1215274184716298,16384,0.016039145165246817,1e-05,0.05,20.0,COMPLETE
38,38,0.646569472326468,2023-04-08 21:12:50.213190,2023-04-08 21:20:33.614137,0 days 00:07:43.400947,0.12010238478798073,16384,0.0151320199970529,1e-05,0.001,20.0,COMPLETE
39,39,0.7095616881129584,2023-04-08 21:20:33.622368,2023-04-08 21:28:07.382581,0 days 00:07:33.760213,0.12353251514355121,16384,0.016837144843743376,1e-05,0.005,5.0,COMPLETE
40,40,0.7319326704332885,2023-04-08 21:28:07.384793,2023-04-08 21:29:18.882356,0 days 00:01:11.497563,0.11621576269143341,16384,0.02774443102534968,1e-05,0.05,25.0,COMPLETE
41,41,0.7318769199140337,2023-04-08 21:29:18.884851,2023-04-08 21:30:45.028741,0 days 00:01:26.143890,0.11749773815546728,16384,0.028198659463482413,1e-05,0.05,25.0,COMPLETE
42,42,0.7319623251829502,2023-04-08 21:30:45.036514,2023-04-08 21:31:39.315421,0 days 00:00:54.278907,0.11585493819521778,16384,0.027347771861312035,1e-05,0.05,25.0,COMPLETE
43,43,0.7291698163917953,2023-04-08 21:31:39.317321,2023-04-08 21:33:10.728118,0 days 00:01:31.410797,0.11691719852644078,16384,0.029699905766297923,1e-05,0.05,15.0,COMPLETE
44,44,0.4993982786132309,2023-04-08 21:33:10.737458,2023-04-08 21:33:43.963603,0 days 00:00:33.226145,0.1293414315487333,16384,0.02243193940274388,0.01,0.005,25.0,COMPLETE
45,45,0.7318932127889397,2023-04-08 21:33:43.967664,2023-04-08 21:34:39.944921,0 days 00:00:55.977257,0.11566634772613202,16384,0.02885254416157428,1e-05,0.05,25.0,COMPLETE
46,46,0.7319401075097519,2023-04-08 21:34:39.947168,2023-04-08 21:36:12.365993,0 days 00:01:32.418825,0.11349534455646189,16384,0.029107855557400548,1e-05,0.05,25.0,COMPLETE
47,47,0.49721658922811335,2023-04-08 21:36:12.371679,2023-04-08 21:36:43.351933,0 days 00:00:30.980254,0.11540765685736731,16384,0.02752475873249556,0.1,0.001,30.0,COMPLETE
48,48,0.7235096783137239,2023-04-08 21:36:43.354185,2023-04-08 21:37:51.097495,0 days 00:01:07.743310,0.11398617752595093,16384,0.039942673353168666,1e-05,0.05,10.0,COMPLETE
49,49,0.5039771454885216,2023-04-08 21:37:51.101119,2023-04-08 21:38:29.720716,0 days 00:00:38.619597,0.12736289588469132,16384,0.03789967171717585,0.001,0.05,25.0,COMPLETE
50,50,0.5004329844642587,2023-04-08 21:38:29.722766,2023-04-08 21:39:41.590305,0 days 00:01:11.867539,0.1312204841295136,1024,0.028890654610332286,0.01,0.005,25.0,COMPLETE
51,51,0.7294817429884581,2023-04-08 21:39:41.593028,2023-04-08 21:40:31.613443,0 days 00:00:50.020415,0.12371950568912857,16384,0.02256073142723159,1e-05,0.05,15.0,COMPLETE
52,52,0.7298218005222865,2023-04-08 21:40:31.614868,2023-04-08 21:41:50.207182,0 days 00:01:18.592314,0.11870585507142555,16384,0.012866487000726743,1e-05,0.05,35.0,COMPLETE
53,53,0.729171092857099,2023-04-08 21:41:50.212769,2023-04-08 21:43:27.028923,0 days 00:01:36.816154,0.11526604973904783,16384,0.03061428513355641,1e-05,0.05,15.0,COMPLETE
54,54,0.7562103407612815,2023-04-08 21:43:27.031251,2023-04-08 21:50:10.269538,0 days 00:06:43.238287,0.10712061412144903,16384,0.023866382408874245,1e-05,0.01,30.0,COMPLETE
55,55,0.7561888189923601,2023-04-08 21:50:10.272203,2023-04-08 21:56:19.469007,0 days 00:06:09.196804,0.10488085708908729,16384,0.024881402130160536,1e-05,0.01,30.0,COMPLETE
56,56,0.5028595719200846,2023-04-08 21:56:19.471027,2023-04-08 21:57:30.146654,0 days 00:01:10.675627,0.10671146040114,2048,0.03681362179586017,1.0,0.01,30.0,COMPLETE
57,57,0.7581221320669759,2023-04-08 21:57:30.152056,2023-04-08 22:03:07.604070,0 days 00:05:37.452014,0.10511458044135287,16384,0.024718658535025716,1e-05,0.01,35.0,COMPLETE
58,58,0.5001411967991048,2023-04-08 22:03:07.609207,2023-04-08 22:03:34.077781,0 days 00:00:26.468574,0.11178801168822426,16384,0.02421598597751086,0.1,0.01,40.0,COMPLETE
59,59,0.7553344010495682,2023-04-08 22:03:34.081469,2023-04-08 22:08:21.605679,0 days 00:04:47.524210,0.1056127934776325,8192,0.010562011317327317,1e-05,0.01,40.0,COMPLETE
60,60,0.7553187681943725,2023-04-08 22:08:21.611673,2023-04-08 22:12:26.369481,0 days 00:04:04.757808,0.10518248204137401,8192,0.01130130689437854,1e-05,0.01,40.0,COMPLETE
61,61,0.7553048398560984,2023-04-08 22:12:26.371877,2023-04-08 22:17:11.188698,0 days 00:04:44.816821,0.10587061206464939,8192,0.01149113602824308,1e-05,0.01,40.0,COMPLETE
