,number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_gamma,params_lambda,params_learning_rate,params_rank,state
0,0,0.7196505097464226,2023-03-31 14:50:02.790024,2023-03-31 14:55:31.898159,0 days 00:05:29.108135,0.1832619845547938,2048,0.08003410758548654,1e-05,0.005,55.0,COMPLETE
1,1,0.5028053285526342,2023-03-31 14:55:31.899945,2023-03-31 14:55:55.757866,0 days 00:00:23.857921,0.16120957227224214,2048,0.06552405971872813,1e-05,0.001,90.0,COMPLETE
2,2,0.49893145500250646,2023-03-31 14:55:55.760044,2023-03-31 14:56:16.125394,0 days 00:00:20.365350,0.11613095178849964,1024,0.06877974929188586,0.01,0.01,95.0,COMPLETE
3,3,0.5006682808501722,2023-03-31 14:56:16.126924,2023-03-31 14:56:38.738279,0 days 00:00:22.611355,0.1739263579398302,16384,0.01352690130288886,0.1,0.05,30.0,COMPLETE
4,4,0.49767503763727156,2023-03-31 14:56:38.741022,2023-03-31 14:57:16.414556,0 days 00:00:37.673534,0.17163272041185657,1024,0.0360465483652481,0.1,0.005,30.0,COMPLETE
5,5,0.500701349760044,2023-03-31 14:57:16.417746,2023-03-31 14:57:36.592865,0 days 00:00:20.175119,0.16994792753175042,2048,0.03676932557696203,0.001,0.01,20.0,COMPLETE
6,6,0.505129530931502,2023-03-31 14:57:36.595171,2023-03-31 14:58:06.256958,0 days 00:00:29.661787,0.1428768700945766,2048,0.02219266578002052,0.01,0.01,85.0,COMPLETE
7,7,0.5043148756518765,2023-03-31 14:58:06.258677,2023-03-31 14:58:24.035108,0 days 00:00:17.776431,0.11494483046579938,1024,0.08813134516313928,0.01,0.1,30.0,COMPLETE
8,8,0.5008699790288541,2023-03-31 14:58:24.036028,2023-03-31 14:58:42.127855,0 days 00:00:18.091827,0.11716296772614405,16384,0.056893294558371645,0.001,0.001,20.0,COMPLETE
9,9,0.5013597905493707,2023-03-31 14:58:42.129370,2023-03-31 14:59:07.110555,0 days 00:00:24.981185,0.17301220295167696,1024,0.03807504959316417,1.0,0.005,10.0,COMPLETE
10,10,0.7160870402620533,2023-03-31 14:59:07.112129,2023-03-31 15:01:35.509543,0 days 00:02:28.397414,0.19665795757894142,8192,0.09875955992364374,1e-05,0.005,60.0,COMPLETE
11,11,0.7317851233474567,2023-03-31 15:01:35.511436,2023-03-31 15:06:27.610875,0 days 00:04:52.099439,0.19523250891613195,8192,0.09810884229837141,1e-05,0.005,60.0,COMPLETE
12,12,0.5013727551307087,2023-03-31 15:06:27.612953,2023-03-31 15:06:49.598135,0 days 00:00:21.985182,0.19739375893776584,8192,0.08349291934039173,0.0001,0.005,60.0,COMPLETE
13,13,0.4979139634907957,2023-03-31 15:06:49.600971,2023-03-31 15:07:12.453908,0 days 00:00:22.852937,0.18597384004379297,4096,0.09867775928993942,1e-05,0.005,50.0,COMPLETE
